attendance_percentage,absence_streak,late_count,attendance_trend,classes_attended,classes_missed,quiz_average,assignment_average,learning_minutes,course_completion,previous_exam_score,recent_score_trend,risk_label,predicted_performance,engagement_level,is_anomaly
81.1,0,0,0.38,39,9,76.0,64.7,375.2,74.4,60.1,-0.375,LOW,74.0,HIGH,1
81.9,1,1,0.165,43,10,79.1,79.9,413.2,64.8,76.3,-0.275,LOW,78.1,MEDIUM,1
54.1,2,0,-0.278,23,19,46.8,73.5,204.4,68.9,62.8,0.191,MEDIUM,56.0,MEDIUM,1
69.8,2,3,-0.433,29,13,61.8,72.8,250.5,63.4,57.2,0.549,MEDIUM,63.5,MEDIUM,1
82.6,1,2,0.48,49,10,60.9,81.6,339.3,80.9,74.2,0.093,LOW,78.4,HIGH,1
54.6,6,1,0.235,25,21,76.2,71.4,315.8,56.0,83.3,-0.048,HIGH,73.9,MEDIUM,1
41.6,4,2,-0.448,24,34,47.3,54.7,204.6,63.2,41.3,-0.421,HIGH,50.5,LOW,1
66.7,0,6,-0.577,28,14,67.6,74.7,316.2,72.9,79.7,0.061,MEDIUM,70.9,MEDIUM,1
91.8,0,3,-0.213,37,3,83.5,86.7,349.7,90.0,77.8,0.356,LOW,83.6,HIGH,1
74.3,0,2,-0.189,38,13,80.2,62.3,304.3,57.2,86.2,-0.144,LOW,76.2,MEDIUM,1
62.9,1,0,-0.151,28,17,72.5,70.0,288.0,67.0,73.2,-0.144,MEDIUM,70.3,MEDIUM,1
93.2,0,5,-0.295,43,3,88.6,86.1,450.5,92.7,91.2,-0.239,LOW,85.3,HIGH,1
54.3,4,2,-0.418,22,19,48.1,68.1,274.8,85.3,49.0,0.266,HIGH,57.9,MEDIUM,1
87.5,0,0,-0.06,50,7,83.7,82.1,423.0,90.3,75.4,0.029,LOW,86.9,HIGH,1
74.9,0,1,0.152,40,14,55.9,81.5,357.2,88.3,56.5,-0.07,LOW,61.5,HIGH,1
50.4,6,4,-0.312,27,27,65.0,84.7,369.8,74.2,70.6,0.194,HIGH,69.5,MEDIUM,1
80.7,1,3,0.234,40,9,90.5,78.3,326.8,69.6,84.3,-0.154,LOW,88.0,MEDIUM,1
74.3,2,2,0.065,42,14,59.0,89.2,289.6,79.1,79.9,-0.286,LOW,74.7,MEDIUM,1
75.1,0,0,0.16,43,14,55.4,56.8,374.3,80.6,54.4,0.085,LOW,62.8,HIGH,1
82.6,1,0,0.68,47,10,96.3,78.6,393.6,79.2,86.7,-0.034,LOW,81.9,HIGH,1
77.5,0,0,0.141,42,12,66.7,59.1,363.0,78.7,68.0,0.037,LOW,68.6,MEDIUM,1
86.8,0,2,0.181,39,6,85.3,74.0,347.2,75.3,87.1,0.389,LOW,80.2,MEDIUM,1
74.5,0,2,0.827,36,12,52.8,90.4,327.4,77.7,64.6,0.171,LOW,73.0,MEDIUM,1
96.9,0,2,0.055,48,2,94.4,91.6,475.9,78.3,100.0,-0.276,LOW,91.8,HIGH,1
73.0,2,7,0.54,39,15,84.3,74.0,354.0,87.4,77.5,0.003,LOW,77.5,MEDIUM,1
88.7,1,4,0.469,37,5,98.0,91.4,435.9,78.3,88.9,-0.082,LOW,91.9,HIGH,1
87.8,0,3,-0.181,51,7,98.0,82.1,428.4,81.8,95.8,-0.067,LOW,88.6,HIGH,1
73.9,3,1,0.145,30,10,60.9,69.3,358.9,68.9,50.1,-0.281,MEDIUM,63.2,MEDIUM,1
65.8,1,4,-0.058,37,19,82.8,52.6,303.3,60.3,77.3,-0.069,MEDIUM,67.0,MEDIUM,1
91.3,0,3,0.382,46,4,86.7,85.3,342.9,75.7,88.7,-0.169,LOW,85.4,HIGH,1
88.6,0,4,-0.137,51,6,78.7,70.2,405.6,69.9,79.6,-0.085,LOW,81.6,MEDIUM,1
76.0,0,3,-0.138,38,12,75.9,74.1,389.4,69.7,76.6,0.024,LOW,78.9,HIGH,1
90.8,0,2,0.367,42,4,98.0,79.8,500.4,90.3,100.0,-0.063,LOW,93.2,HIGH,1
87.2,1,2,-0.203,35,5,67.7,75.4,373.7,83.0,75.5,-0.401,LOW,81.2,HIGH,1
71.7,0,4,0.003,37,14,73.0,75.5,309.2,66.2,80.1,-0.113,LOW,75.5,MEDIUM,1
78.1,0,1,-0.328,34,9,87.9,93.2,371.3,100.0,99.5,-0.133,LOW,90.9,HIGH,1
79.2,0,3,-0.149,37,10,78.4,77.3,364.4,72.7,79.2,0.183,LOW,79.8,HIGH,1
66.6,2,2,-0.323,36,18,52.6,69.1,286.3,57.9,69.3,0.101,MEDIUM,59.5,MEDIUM,1
79.8,0,4,0.058,40,10,76.0,73.6,378.9,68.7,71.8,0.193,LOW,72.3,HIGH,1
92.2,0,4,0.143,43,4,60.4,81.7,457.1,87.3,75.6,0.084,LOW,74.0,HIGH,1
87.6,0,1,0.06,45,6,74.0,90.0,431.6,79.3,81.7,0.043,LOW,80.4,HIGH,1
99.6,0,5,0.372,42,0,70.0,51.2,339.4,82.7,63.6,0.01,LOW,71.8,HIGH,1
85.0,0,3,0.474,37,6,69.9,75.6,367.1,63.7,78.7,0.299,LOW,80.1,HIGH,1
97.4,1,2,-0.109,50,1,95.8,60.5,372.8,83.6,76.6,0.379,LOW,82.5,HIGH,1
73.1,0,1,-0.402,34,13,65.3,68.1,302.1,64.5,60.8,0.121,LOW,64.2,MEDIUM,1
91.9,0,5,0.226,45,4,80.2,81.9,367.7,93.4,78.2,0.164,LOW,79.5,HIGH,1
96.7,1,1,0.406,39,1,98.0,93.6,433.7,82.2,93.9,-0.27,LOW,96.6,HIGH,1
64.3,2,3,-0.483,33,19,70.6,76.6,309.6,74.0,73.1,-0.052,MEDIUM,71.3,MEDIUM,1
84.9,0,6,0.008,39,7,76.8,91.7,370.9,93.5,89.0,-0.018,LOW,91.4,HIGH,1
45.2,2,4,0.041,27,32,54.0,56.8,312.4,48.7,54.9,-0.11,MEDIUM,50.8,MEDIUM,1
85.8,1,4,0.433,36,6,82.3,69.4,429.8,73.1,86.7,0.463,LOW,84.6,HIGH,1
87.7,0,1,0.241,48,7,94.7,73.6,402.8,73.1,90.1,0.077,LOW,78.9,HIGH,1
65.7,3,3,-0.239,34,17,56.4,76.0,313.8,76.9,64.0,-0.025,HIGH,59.8,MEDIUM,1
67.1,0,3,-0.395,30,14,73.1,84.2,391.5,82.0,70.4,-0.314,LOW,78.3,HIGH,1
78.4,8,2,-0.95,45,12,58.9,79.6,278.7,58.5,55.0,0.194,LOW,67.3,HIGH,-1
86.2,0,0,0.126,41,6,98.0,73.9,10.0,80.0,64.7,0.147,LOW,68.2,MEDIUM,-1
61.9,2,2,-0.051,32,19,69.6,54.1,323.1,59.9,53.0,-0.156,MEDIUM,59.5,MEDIUM,1
74.2,3,4,0.221,31,11,73.9,71.0,313.9,72.7,84.9,-0.109,MEDIUM,77.8,MEDIUM,1
64.5,0,2,-0.665,35,20,44.4,75.8,217.0,80.0,64.9,-0.127,MEDIUM,64.2,MEDIUM,1
96.7,0,4,0.057,47,2,72.6,70.9,378.8,84.4,69.7,0.085,LOW,83.5,HIGH,1
80.2,0,2,0.492,45,11,68.4,96.1,343.0,77.5,71.0,-0.083,LOW,80.4,HIGH,1
67.7,2,1,-0.97,33,16,74.0,68.4,369.7,69.0,64.2,-0.253,MEDIUM,72.8,MEDIUM,1
89.3,0,5,-0.304,37,5,98.0,90.2,10.0,100.0,89.3,0.493,LOW,88.1,HIGH,-1
74.8,2,2,-0.201,31,10,56.9,62.9,339.0,73.2,59.2,0.074,MEDIUM,59.3,HIGH,1
93.5,0,4,0.299,50,3,78.7,77.5,386.0,73.5,65.9,-0.3,LOW,80.9,HIGH,1
62.0,0,1,-0.4,30,18,86.7,81.2,351.6,65.2,80.5,-0.298,LOW,81.4,HIGH,1
83.3,0,3,0.135,47,9,98.0,65.7,10.0,76.6,80.0,0.204,LOW,85.8,HIGH,-1
87.3,0,1,0.248,38,5,51.1,84.8,310.0,77.1,70.8,-0.244,LOW,65.8,HIGH,1
89.8,0,4,0.246,49,5,75.5,71.7,433.2,71.0,76.7,-0.147,LOW,75.8,HIGH,1
83.5,1,2,-0.099,43,9,81.6,68.5,399.7,77.8,73.6,-0.299,LOW,76.0,HIGH,1
72.2,1,3,0.005,42,16,79.8,71.7,334.1,81.2,73.5,-0.159,MEDIUM,72.8,MEDIUM,1
83.7,0,1,0.04,40,8,90.3,71.0,417.6,70.5,75.5,0.202,LOW,74.8,HIGH,1
60.6,2,2,0.247,26,17,44.5,70.3,299.2,58.8,63.1,0.014,MEDIUM,59.4,MEDIUM,1
80.8,1,2,0.036,38,9,77.9,74.0,337.0,72.8,76.7,-0.14,LOW,70.7,HIGH,1
77.4,0,1,0.285,42,12,76.6,67.5,308.5,73.0,73.7,-0.385,LOW,75.9,HIGH,1
63.6,0,2,-0.035,34,19,80.3,66.7,282.5,72.9,71.7,-0.279,LOW,74.7,MEDIUM,1
96.8,0,4,0.429,41,1,89.5,98.8,408.4,99.5,83.7,-0.107,LOW,95.9,HIGH,1
51.0,3,3,0.015,29,27,66.2,53.6,248.9,52.0,67.7,0.025,MEDIUM,60.9,MEDIUM,1
85.8,0,3,0.117,40,7,82.3,67.9,410.8,78.0,84.8,0.136,LOW,80.9,HIGH,1
95.0,0,2,0.248,50,3,82.6,72.8,433.1,68.1,74.8,-0.281,LOW,75.4,HIGH,1
75.2,0,1,0.847,39,13,86.8,64.2,376.4,67.9,68.2,0.117,LOW,71.7,HIGH,1
77.3,1,4,-0.122,42,12,61.7,65.6,374.0,64.8,66.6,0.089,MEDIUM,65.7,HIGH,1
80.7,0,1,-0.051,40,10,90.2,63.0,385.6,60.9,70.9,0.077,LOW,72.0,HIGH,1
90.5,1,2,-0.245,49,5,77.9,89.5,410.0,96.2,88.1,-0.482,LOW,81.3,HIGH,1
96.1,1,4,0.156,49,2,76.5,85.0,424.4,77.3,72.3,0.046,LOW,79.9,HIGH,1
61.8,0,5,-0.389,30,18,63.4,67.3,283.4,74.8,72.4,-0.072,MEDIUM,66.0,MEDIUM,1
98.9,0,5,-0.218,53,1,82.2,99.0,376.4,100.0,85.4,-0.034,LOW,93.6,HIGH,1
87.7,0,4,0.102,35,5,98.0,85.4,367.3,75.8,100.0,0.458,LOW,86.2,HIGH,1
87.7,0,2,-0.31,45,6,64.2,99.0,417.2,89.4,67.7,-0.397,LOW,80.6,HIGH,1
75.3,0,3,0.477,34,11,57.0,86.8,283.1,81.8,56.7,0.513,LOW,66.5,MEDIUM,1
79.6,8,4,-0.95,32,8,62.0,63.7,382.4,82.0,65.1,-0.612,LOW,67.9,MEDIUM,-1
87.7,1,1,0.63,51,7,76.1,66.1,443.0,81.7,82.0,-0.059,LOW,80.8,HIGH,1
56.2,3,2,0.547,29,23,53.6,60.1,243.3,62.0,61.7,0.155,MEDIUM,55.9,MEDIUM,1
79.8,1,3,-0.389,36,9,46.1,72.4,329.0,75.7,56.5,-0.261,MEDIUM,64.1,MEDIUM,1
86.7,0,0,0.052,49,7,70.1,91.8,358.2,79.6,80.2,0.089,LOW,83.9,HIGH,1
78.7,0,1,0.488,41,11,60.3,71.3,320.4,82.5,54.6,-0.167,LOW,67.9,MEDIUM,1
93.5,0,3,0.481,45,3,93.7,81.0,495.1,90.0,91.6,0.079,LOW,91.3,HIGH,1
50.5,2,3,0.008,24,23,67.8,51.1,312.9,63.7,64.1,-0.021,MEDIUM,52.4,MEDIUM,1
69.0,0,2,-0.564,37,17,73.7,77.7,327.8,72.0,71.9,-0.023,MEDIUM,73.9,MEDIUM,1
38.5,4,3,-0.166,22,35,33.5,68.3,229.2,60.6,37.6,0.392,HIGH,39.9,MEDIUM,1
81.3,0,7,0.418,33,8,92.6,84.3,451.0,87.1,93.3,0.273,LOW,90.9,HIGH,1
94.7,0,2,-0.003,39,2,72.5,83.9,379.8,76.8,71.3,-0.131,LOW,79.7,HIGH,1
69.6,0,3,-0.479,35,15,79.6,81.6,377.6,85.8,73.7,0.18,LOW,73.5,HIGH,1
87.2,0,0,0.017,35,5,85.9,84.6,360.0,89.1,98.9,0.061,LOW,89.6,HIGH,1
76.4,0,4,-0.07,44,13,63.5,82.3,309.1,67.9,72.7,-0.186,LOW,75.4,MEDIUM,1
97.6,0,5,0.182,45,1,87.8,76.1,438.0,74.4,76.7,-0.07,LOW,82.5,HIGH,1
67.4,1,4,-0.681,38,18,69.8,67.4,323.6,71.2,76.8,0.242,MEDIUM,71.6,HIGH,1
75.7,0,6,0.592,42,13,85.6,80.3,364.5,95.5,83.1,-0.211,LOW,74.3,MEDIUM,1
65.7,0,3,-0.419,30,16,59.9,64.9,334.8,66.5,71.6,-0.076,LOW,65.1,MEDIUM,1
95.4,0,2,-0.204,44,2,84.7,99.0,409.9,99.6,77.9,0.24,LOW,92.4,HIGH,1
69.6,1,1,-0.371,29,12,98.0,75.6,10.0,71.2,67.2,0.266,MEDIUM,67.1,MEDIUM,-1
92.5,0,4,0.181,41,3,96.1,87.4,452.2,87.6,88.1,0.061,LOW,95.7,HIGH,1
57.6,4,3,-0.717,31,22,98.0,76.5,10.0,76.5,67.4,-0.164,HIGH,61.5,MEDIUM,-1
78.6,1,4,-0.072,37,10,63.1,78.1,332.0,87.2,80.1,0.145,LOW,75.9,HIGH,1
77.8,0,3,0.081,40,11,81.3,79.7,366.7,72.1,84.0,-0.412,LOW,82.3,MEDIUM,1
87.6,1,5,-0.102,40,6,91.5,73.7,361.9,78.1,71.3,-0.252,LOW,79.6,HIGH,1
94.1,0,1,-0.189,42,3,76.4,79.0,389.1,77.4,81.0,0.353,LOW,87.3,HIGH,1
82.1,0,6,0.384,43,9,98.0,76.9,358.2,81.4,79.8,0.334,LOW,92.7,HIGH,1
59.5,5,1,0.028,30,21,82.9,55.8,340.9,62.7,70.2,-0.172,HIGH,72.9,MEDIUM,1
70.3,0,5,0.373,39,17,70.7,87.7,277.1,70.5,73.0,-0.314,LOW,71.3,MEDIUM,1
59.7,6,1,-0.08,33,22,59.6,55.4,228.1,61.1,62.0,-0.306,HIGH,61.6,MEDIUM,1
95.6,0,4,-0.257,38,2,67.1,72.3,387.0,90.5,70.3,-0.151,LOW,76.1,HIGH,1
90.7,0,1,0.093,42,4,67.5,80.9,403.1,85.5,69.2,0.061,LOW,76.7,HIGH,1
73.5,1,1,0.506,31,11,49.2,77.6,305.5,67.8,59.3,-0.195,LOW,64.3,MEDIUM,1
80.9,1,4,-0.263,36,9,82.6,69.1,423.6,77.6,89.9,-0.072,LOW,77.9,MEDIUM,1
84.4,1,2,-0.196,35,7,76.3,72.8,380.4,73.9,75.5,-0.067,LOW,74.8,HIGH,1
87.9,0,1,0.181,37,5,72.5,76.8,470.2,82.3,61.8,0.214,LOW,77.9,HIGH,1
89.3,0,2,0.328,42,5,45.4,80.5,350.1,69.8,50.6,-0.196,LOW,62.0,HIGH,1
91.0,0,2,0.304,48,5,86.9,87.4,506.2,91.6,79.3,0.003,LOW,90.0,HIGH,1
61.2,1,1,-0.154,29,19,65.1,60.1,301.3,70.9,80.0,0.556,MEDIUM,66.7,MEDIUM,1
73.8,1,1,-0.201,32,12,72.1,69.0,370.9,61.4,65.0,0.002,LOW,62.2,MEDIUM,1
86.1,0,3,0.247,47,7,78.1,82.6,388.8,84.8,73.1,-0.01,LOW,80.1,HIGH,1
91.3,0,4,-0.086,51,5,92.9,92.9,432.7,82.0,92.9,-0.061,LOW,92.5,HIGH,1
90.0,1,0,0.202,44,5,60.5,89.6,339.9,93.2,81.7,0.035,LOW,79.3,HIGH,1
68.1,1,2,-0.287,32,15,97.2,74.5,387.6,75.5,86.3,0.022,LOW,79.4,HIGH,1
74.7,2,1,0.006,43,14,56.5,53.1,271.6,75.5,53.0,0.114,MEDIUM,56.1,MEDIUM,1
75.1,0,1,0.799,34,11,69.7,65.1,339.0,81.6,78.9,0.396,LOW,77.3,MEDIUM,1
84.9,1,1,-0.255,48,8,44.9,70.4,307.5,74.4,56.5,-0.094,MEDIUM,59.4,MEDIUM,1
92.9,0,2,-0.121,40,3,83.3,91.9,391.3,89.8,87.0,-0.079,LOW,85.7,HIGH,1
66.9,1,2,0.071,36,18,64.6,59.5,353.6,80.0,70.7,0.416,MEDIUM,66.9,MEDIUM,1
46.0,5,3,0.273,23,26,57.7,45.3,267.4,35.1,57.1,-0.103,HIGH,44.3,MEDIUM,1
89.6,0,4,0.301,47,5,84.2,84.2,325.0,74.6,88.8,-0.042,LOW,83.8,MEDIUM,1
94.5,0,2,0.032,38,2,76.1,87.5,435.8,95.7,76.8,0.036,LOW,85.3,HIGH,1
86.9,0,2,-0.137,42,6,97.1,71.5,413.3,70.8,83.4,-0.108,LOW,83.9,MEDIUM,1
80.0,0,3,0.359,35,9,68.8,71.6,388.4,88.6,73.0,0.067,LOW,66.9,HIGH,1
77.9,0,1,0.098,39,11,80.3,91.0,370.4,75.7,90.1,-0.273,LOW,85.4,HIGH,1
79.7,0,0,-0.057,34,9,64.3,62.1,293.8,76.4,63.2,-0.433,LOW,65.0,HIGH,1
82.3,0,2,0.421,49,10,88.3,66.6,444.8,76.6,76.8,-0.324,LOW,79.1,HIGH,1
75.5,0,2,0.055,42,13,60.2,80.1,361.6,76.4,80.2,0.31,LOW,70.6,MEDIUM,1
90.0,0,2,-0.294,51,6,76.9,81.6,394.5,86.7,83.0,0.526,LOW,78.5,HIGH,1
63.2,8,3,-0.95,30,17,59.0,67.8,251.5,69.4,64.9,-0.386,LOW,63.9,MEDIUM,-1
65.1,2,2,-0.354,27,14,71.1,53.8,335.7,67.0,57.1,0.042,MEDIUM,61.1,MEDIUM,1
88.3,0,3,-0.199,49,7,68.5,70.2,385.2,90.5,73.7,0.198,LOW,75.8,HIGH,1
93.8,0,7,0.192,46,3,73.5,79.1,352.8,89.8,67.4,-0.211,LOW,82.1,HIGH,1
82.7,0,5,0.236,43,9,74.2,96.2,365.3,95.6,87.5,0.17,LOW,85.0,HIGH,1
82.0,0,1,-0.656,44,10,70.7,71.6,286.6,74.1,82.6,0.179,MEDIUM,76.0,HIGH,1
38.5,3,2,0.077,18,30,54.5,42.5,154.1,35.9,62.3,0.042,HIGH,44.3,LOW,1
75.7,0,5,0.401,36,11,63.3,69.6,289.4,65.8,76.2,0.25,LOW,67.7,MEDIUM,1
78.2,0,2,0.065,35,10,65.0,68.0,345.3,86.8,62.1,0.001,LOW,71.1,HIGH,1
89.3,1,4,-0.137,38,5,79.2,86.0,357.5,100.0,87.7,0.295,LOW,88.1,HIGH,1
90.4,1,1,0.262,52,5,96.8,54.5,463.2,64.1,79.8,0.088,LOW,77.4,MEDIUM,1
93.2,0,4,0.101,39,3,77.8,75.1,369.3,76.1,85.1,0.188,LOW,80.3,HIGH,1
85.2,0,1,-0.06,37,6,86.1,92.6,377.0,83.6,89.2,0.426,LOW,80.5,HIGH,1
89.8,1,1,-0.053,47,5,84.6,86.7,445.2,85.6,83.1,-0.067,LOW,90.7,HIGH,1
59.3,8,2,-0.95,35,24,54.9,67.3,262.6,76.1,59.1,-0.141,MEDIUM,59.1,MEDIUM,-1
69.4,1,2,0.148,35,15,78.3,65.7,341.6,76.8,77.9,0.053,LOW,67.2,MEDIUM,1
69.8,1,1,-0.645,33,14,68.7,78.2,366.9,65.0,68.9,-0.237,MEDIUM,71.2,MEDIUM,1
57.9,4,4,-0.157,31,22,76.0,72.4,386.0,57.6,64.2,-0.464,HIGH,68.5,MEDIUM,1
89.8,0,2,-0.166,48,5,98.0,69.2,457.3,67.3,95.2,-0.411,LOW,93.6,HIGH,1
82.5,0,2,0.195,45,10,76.7,88.1,389.3,76.4,78.1,0.231,LOW,86.2,HIGH,1
51.3,4,2,-0.077,27,26,75.2,85.4,377.5,58.8,88.9,-0.125,HIGH,76.5,MEDIUM,1
78.2,0,2,-0.27,31,9,86.6,71.2,323.5,81.0,88.5,-0.395,LOW,82.0,MEDIUM,1
61.1,1,1,-0.078,25,16,60.3,57.4,376.5,52.1,63.8,-0.122,MEDIUM,57.8,MEDIUM,1
87.8,0,3,0.178,52,7,73.4,87.5,388.6,87.1,89.0,-0.203,LOW,85.4,HIGH,1
54.7,2,3,0.141,22,18,46.5,73.9,273.7,55.7,54.9,-0.253,HIGH,56.3,MEDIUM,1
85.7,1,3,0.107,43,7,91.6,76.0,357.2,100.0,91.8,-0.09,LOW,88.2,HIGH,1
74.2,0,3,0.186,33,12,61.4,61.4,277.7,73.2,64.2,0.291,LOW,66.8,MEDIUM,1
69.4,1,2,-0.122,37,17,62.6,75.6,297.9,80.1,55.4,0.131,LOW,69.0,MEDIUM,1
77.1,0,6,0.526,39,12,96.4,45.6,385.3,61.3,76.7,-0.053,LOW,76.3,MEDIUM,1
93.9,0,2,-0.445,41,3,98.0,83.7,10.0,91.8,72.8,0.098,LOW,80.3,HIGH,-1
58.7,3,0,-0.717,30,21,84.0,34.5,332.5,49.1,64.5,0.19,HIGH,64.8,MEDIUM,1
66.3,0,8,-0.281,35,18,91.5,65.6,330.4,81.5,76.3,0.116,LOW,79.8,MEDIUM,1
86.8,1,0,0.209,46,7,67.9,91.1,387.0,77.7,62.4,0.114,LOW,78.6,HIGH,1
82.4,8,0,-0.95,48,10,85.1,98.6,321.1,87.2,91.5,-0.063,LOW,90.6,HIGH,-1
48.3,2,0,-0.269,21,23,64.8,72.2,325.7,61.4,64.1,0.492,MEDIUM,67.2,MEDIUM,1
78.6,0,4,-0.126,33,9,83.8,77.0,348.9,66.6,80.5,-0.019,LOW,76.7,MEDIUM,1
80.4,0,3,-0.288,46,11,89.2,81.0,391.3,87.4,90.4,0.12,LOW,85.5,HIGH,1
75.2,0,3,0.048,34,11,50.8,76.1,299.8,68.0,60.4,-0.142,LOW,67.6,MEDIUM,1
90.8,0,3,0.314,44,4,87.4,70.6,407.1,66.5,86.9,0.193,LOW,77.1,MEDIUM,1
75.9,1,2,0.655,35,11,81.3,78.4,373.2,82.1,83.7,0.277,LOW,85.3,HIGH,1
91.8,1,3,0.734,52,5,75.1,77.8,537.6,70.8,73.8,0.138,LOW,80.4,HIGH,1
73.5,2,8,0.473,30,11,83.1,81.0,286.9,81.9,84.0,0.259,MEDIUM,81.3,HIGH,1
63.0,0,1,-0.153,37,22,81.4,79.8,293.2,80.5,86.1,0.277,LOW,81.6,MEDIUM,1
88.4,0,2,0.068,43,6,73.4,75.4,331.6,71.8,73.1,0.253,LOW,73.3,HIGH,1
83.4,0,4,0.145,43,8,61.1,76.8,362.2,84.8,72.0,0.0,LOW,78.9,HIGH,1
84.2,0,3,0.144,35,6,98.0,80.3,422.9,72.3,96.8,0.172,LOW,88.8,HIGH,1
88.7,0,7,0.436,46,6,69.5,82.1,431.8,80.2,71.3,-0.05,LOW,75.8,HIGH,1
76.4,8,5,-0.95,36,11,57.2,96.4,328.7,84.0,76.0,0.045,LOW,73.0,HIGH,-1
91.8,1,5,-0.249,42,4,83.3,78.6,456.0,73.2,78.7,-0.094,LOW,93.6,HIGH,1
68.4,1,5,-0.339,29,13,42.0,52.0,328.9,53.6,54.3,-0.332,HIGH,59.3,MEDIUM,1
77.2,0,2,0.387,36,11,74.5,72.7,349.7,84.2,67.2,0.202,LOW,77.5,HIGH,1
80.4,0,1,0.062,32,8,85.2,95.3,351.4,68.1,89.5,-0.163,LOW,87.3,HIGH,1
83.3,0,2,-0.024,45,9,70.0,81.6,357.8,78.2,76.0,0.171,LOW,71.5,HIGH,1
47.1,4,4,0.098,19,21,64.9,62.3,238.7,60.7,69.7,0.239,HIGH,64.4,MEDIUM,1
97.3,0,4,-0.053,50,1,89.4,71.7,430.5,86.7,83.6,-0.028,LOW,79.3,HIGH,1
80.4,0,4,0.297,40,10,81.3,74.8,341.1,88.4,77.8,0.312,LOW,75.5,HIGH,1
75.6,0,3,0.005,42,13,98.0,89.3,10.0,87.1,67.5,-0.075,LOW,77.3,HIGH,-1
53.7,5,3,0.415,23,20,62.3,75.2,212.4,68.7,66.2,-0.078,HIGH,64.3,MEDIUM,1
82.8,0,1,0.475,34,7,78.6,91.7,390.3,83.7,78.3,-0.074,LOW,84.1,HIGH,1
43.9,2,0,-0.349,18,24,57.8,47.3,274.0,48.4,63.5,-0.047,MEDIUM,49.9,MEDIUM,1
67.9,2,2,-0.167,29,14,67.0,77.9,343.1,70.8,75.7,-0.052,MEDIUM,74.1,MEDIUM,1
69.6,0,2,-0.074,40,17,91.5,50.8,257.1,61.2,64.8,-0.028,LOW,68.8,MEDIUM,1
69.8,0,3,-0.376,36,15,73.8,70.5,344.0,74.5,86.2,0.655,LOW,67.6,MEDIUM,1
88.2,0,2,0.005,35,5,84.1,82.8,413.6,79.7,88.1,-0.204,LOW,90.4,HIGH,1
80.7,0,1,0.352,34,8,60.7,88.1,457.3,88.9,68.9,0.338,LOW,69.0,HIGH,1
69.8,2,2,-0.252,30,13,97.5,80.7,377.3,76.9,95.0,-0.008,LOW,88.2,MEDIUM,1
58.5,6,8,-0.672,26,19,74.8,78.9,249.4,61.3,69.5,-0.065,HIGH,72.1,MEDIUM,1
61.4,0,2,-0.081,34,22,69.7,81.7,240.4,72.4,68.3,0.181,LOW,69.4,MEDIUM,1
88.1,0,3,0.389,41,6,98.0,78.9,408.2,81.4,80.5,0.16,LOW,83.9,HIGH,1
85.5,0,0,0.002,49,8,63.6,65.2,325.0,73.0,65.2,-0.159,LOW,72.0,MEDIUM,1
71.6,2,0,-0.132,39,16,57.6,77.9,348.3,77.9,72.9,0.417,MEDIUM,72.5,MEDIUM,1
97.8,0,2,0.499,44,1,96.6,92.5,505.3,78.1,97.2,-0.238,LOW,96.0,HIGH,1
83.8,0,3,0.146,49,9,92.0,72.3,301.0,74.4,85.7,0.1,LOW,85.6,HIGH,1
76.5,0,0,0.076,36,11,51.0,75.2,304.6,74.6,62.3,-0.189,LOW,66.2,HIGH,1
69.7,2,2,-0.275,30,13,58.0,78.2,362.9,70.2,79.7,-0.185,MEDIUM,67.2,MEDIUM,1
89.3,0,1,0.537,43,5,61.5,95.5,399.2,91.1,82.3,0.277,LOW,80.4,HIGH,1
75.2,1,4,0.179,35,12,84.2,59.8,330.9,65.9,70.7,-0.027,LOW,71.8,MEDIUM,1
86.7,0,2,0.233,50,8,79.5,91.3,401.2,83.2,74.2,0.196,LOW,86.7,HIGH,1
81.6,0,1,0.053,33,7,81.3,76.1,424.0,77.4,79.7,-0.163,LOW,81.4,HIGH,1
88.6,0,3,0.105,38,5,66.8,78.2,373.1,74.6,69.3,-0.404,LOW,80.7,HIGH,1
60.8,8,2,-0.95,30,19,68.6,79.9,331.2,61.6,80.1,0.155,LOW,75.6,MEDIUM,-1
69.8,1,1,-0.103,33,14,51.4,66.0,352.4,84.7,53.9,0.139,MEDIUM,60.0,MEDIUM,1
66.6,2,2,-0.583,28,14,78.2,75.3,330.6,67.8,86.0,-0.098,MEDIUM,74.7,MEDIUM,1
50.7,2,4,-0.18,26,25,81.9,55.9,303.4,56.5,76.4,0.127,MEDIUM,59.6,MEDIUM,1
89.9,0,7,-0.01,43,5,52.7,78.4,394.8,91.5,57.6,-0.075,LOW,65.5,HIGH,1
72.1,2,2,-0.054,30,12,87.6,87.2,390.4,81.2,78.5,0.399,LOW,85.0,MEDIUM,1
76.9,0,4,0.234,33,10,72.3,78.8,405.0,71.4,76.1,0.309,LOW,74.2,HIGH,1
78.0,0,2,0.1,35,10,78.2,87.9,399.7,66.7,77.6,-0.107,LOW,76.2,HIGH,1
90.5,0,1,-0.198,43,5,75.6,60.2,459.8,63.2,77.6,0.003,LOW,73.8,HIGH,1
57.3,3,6,-0.515,24,17,50.9,79.0,246.6,61.6,61.0,0.458,HIGH,57.9,MEDIUM,1
66.6,1,4,-0.19,27,14,88.4,59.7,362.4,61.6,58.4,0.132,LOW,71.0,MEDIUM,1
